RuleID,Atom_id,Negated,Model,Dataset,Fold_number,fold_id
GR170,RVA724,true,Model2,Data1,1,Fold1
GR171,RVA10643,true,Model2,Data1,1,Fold1
GR172,RVA10644,true,Model2,Data1,1,Fold1
GR173,RVA10644,true,Model2,Data1,1,Fold1
GR174,RVA10638,true,Model2,Data1,1,Fold1
GR175,RVA10642,true,Model2,Data1,1,Fold1
GR176,RVA10612,true,Model2,Data1,1,Fold1
GR176,RVA9558,true,Model2,Data1,1,Fold1
GR177,RVA10641,true,Model2,Data1,1,Fold1
GR178,RVA9751,true,Model2,Data1,1,Fold1
GR179,RVA9758,true,Model2,Data1,1,Fold1
GR180,RVA9731,true,Model2,Data1,1,Fold1
GR181,RVA10590,true,Model2,Data1,1,Fold1
GR182,RVA9756,true,Model2,Data1,1,Fold1
GR183,RVA9754,true,Model2,Data1,1,Fold1
GR184,RVA9781,true,Model2,Data1,1,Fold1
GR184,RVA844,true,Model2,Data1,1,Fold1
GR185,RVA9785,true,Model2,Data1,1,Fold1
GR186,RVA10491,true,Model2,Data1,1,Fold1
GR186,RVA845,true,Model2,Data1,1,Fold1
GR187,RVA9786,true,Model2,Data1,1,Fold1
GR188,RVA10493,true,Model2,Data1,1,Fold1
GR188,RVA9557,true,Model2,Data1,1,Fold1
GR189,RVA9820,true,Model2,Data1,1,Fold1
GR190,RVA9789,true,Model2,Data1,1,Fold1
GR190,RVA5710,true,Model2,Data1,1,Fold1
GR191,RVA9821,true,Model2,Data1,1,Fold1
GR192,RVA9827,true,Model2,Data1,1,Fold1
GR193,RVA9831,true,Model2,Data1,1,Fold1
GR194,RVA9828,true,Model2,Data1,1,Fold1
GR195,RVA9822,true,Model2,Data1,1,Fold1
GR196,RVA9755,true,Model2,Data1,1,Fold1
GR196,RVA9560,true,Model2,Data1,1,Fold1
GR197,RVA9735,true,Model2,Data1,1,Fold1
GR198,RVA10639,true,Model2,Data1,1,Fold1
GR199,RVA9825,true,Model2,Data1,1,Fold1
GR200,RVA9824,true,Model2,Data1,1,Fold1
GR201,RVA9824,true,Model2,Data1,1,Fold1
GR202,RVA9826,true,Model2,Data1,1,Fold1
GR203,RVA9824,true,Model2,Data1,1,Fold1
GR204,RVA9864,true,Model2,Data1,1,Fold1
GR205,RVA9865,true,Model2,Data1,1,Fold1
GR205,RVA844,true,Model2,Data1,1,Fold1
GR206,RVA9873,true,Model2,Data1,1,Fold1
GR206,RVA724,true,Model2,Data1,1,Fold1
GR207,RVA9865,true,Model2,Data1,1,Fold1
GR207,RVA845,true,Model2,Data1,1,Fold1
GR208,RVA9867,true,Model2,Data1,1,Fold1
GR209,RVA9870,true,Model2,Data1,1,Fold1
GR210,RVA9863,true,Model2,Data1,1,Fold1
GR210,RVA8355,true,Model2,Data1,1,Fold1
GR211,RVA9893,true,Model2,Data1,1,Fold1
GR212,RVA9895,true,Model2,Data1,1,Fold1
GR212,RVA5710,true,Model2,Data1,1,Fold1
GR213,RVA9900,true,Model2,Data1,1,Fold1
GR213,RVA5710,true,Model2,Data1,1,Fold1
GR214,RVA9894,true,Model2,Data1,1,Fold1
GR215,RVA9896,true,Model2,Data1,1,Fold1
GR216,RVA9938,true,Model2,Data1,1,Fold1
GR217,RVA9869,true,Model2,Data1,1,Fold1
GR217,RVA8355,true,Model2,Data1,1,Fold1
GR218,RVA9936,true,Model2,Data1,1,Fold1
GR219,RVA9871,true,Model2,Data1,1,Fold1
GR220,RVA9935,true,Model2,Data1,1,Fold1
GR221,RVA9965,true,Model2,Data1,1,Fold1
GR222,RVA9939,true,Model2,Data1,1,Fold1
GR223,RVA9963,true,Model2,Data1,1,Fold1
GR223,RVA848,true,Model2,Data1,1,Fold1
GR224,RVA9934,true,Model2,Data1,1,Fold1
GR224,RVA8355,true,Model2,Data1,1,Fold1
GR225,RVA9963,true,Model2,Data1,1,Fold1
GR225,RVA845,true,Model2,Data1,1,Fold1
GR226,RVA9971,true,Model2,Data1,1,Fold1
GR227,RVA10054,true,Model2,Data1,1,Fold1
GR228,RVA10060,true,Model2,Data1,1,Fold1
GR229,RVA9961,true,Model2,Data1,1,Fold1
GR229,RVA9558,true,Model2,Data1,1,Fold1
GR230,RVA10055,true,Model2,Data1,1,Fold1
GR231,RVA10086,true,Model2,Data1,1,Fold1
GR232,RVA10065,true,Model2,Data1,1,Fold1
GR232,RVA778,true,Model2,Data1,1,Fold1
GR233,RVA9963,true,Model2,Data1,1,Fold1
GR233,RVA754,true,Model2,Data1,1,Fold1
GR234,RVA10082,true,Model2,Data1,1,Fold1
GR235,RVA10083,true,Model2,Data1,1,Fold1
GR235,RVA5710,true,Model2,Data1,1,Fold1
GR236,RVA10089,true,Model2,Data1,1,Fold1
GR237,RVA10117,true,Model2,Data1,1,Fold1
GR237,RVA8350,true,Model2,Data1,1,Fold1
GR238,RVA10113,true,Model2,Data1,1,Fold1
GR239,RVA10113,true,Model2,Data1,1,Fold1
GR240,RVA10051,true,Model2,Data1,1,Fold1
GR241,RVA10116,true,Model2,Data1,1,Fold1
GR242,RVA10113,true,Model2,Data1,1,Fold1
GR243,RVA10062,true,Model2,Data1,1,Fold1
GR243,RVA8350,true,Model2,Data1,1,Fold1
GR244,RVA10111,true,Model2,Data1,1,Fold1
GR245,RVA10124,true,Model2,Data1,1,Fold1
GR245,RVA5710,true,Model2,Data1,1,Fold1
GR246,RVA10114,true,Model2,Data1,1,Fold1
GR246,RVA8356,true,Model2,Data1,1,Fold1
GR247,RVA10153,true,Model2,Data1,1,Fold1
GR248,RVA10056,true,Model2,Data1,1,Fold1
GR248,RVA9558,true,Model2,Data1,1,Fold1
GR249,RVA10153,true,Model2,Data1,1,Fold1
GR249,RVA9558,true,Model2,Data1,1,Fold1
GR250,RVA10156,true,Model2,Data1,1,Fold1
GR251,RVA10060,true,Model2,Data1,1,Fold1
GR252,RVA10152,true,Model2,Data1,1,Fold1
GR253,RVA10153,true,Model2,Data1,1,Fold1
GR254,RVA10153,true,Model2,Data1,1,Fold1
GR255,RVA10189,true,Model2,Data1,1,Fold1
GR256,RVA10181,true,Model2,Data1,1,Fold1
GR256,RVA724,true,Model2,Data1,1,Fold1
GR257,RVA10186,true,Model2,Data1,1,Fold1
GR258,RVA10132,true,Model2,Data1,1,Fold1
GR259,RVA9246,true,Model2,Data1,1,Fold1
GR260,RVA10128,true,Model2,Data1,1,Fold1
GR260,RVA5710,true,Model2,Data1,1,Fold1
GR261,RVA9269,true,Model2,Data1,1,Fold1
GR262,RVA9267,true,Model2,Data1,1,Fold1
GR263,RVA10132,true,Model2,Data1,1,Fold1
GR264,RVA10132,true,Model2,Data1,1,Fold1
GR265,RVA9263,true,Model2,Data1,1,Fold1
GR266,RVA9263,true,Model2,Data1,1,Fold1
GR266,RVA9560,true,Model2,Data1,1,Fold1
GR267,RVA9264,true,Model2,Data1,1,Fold1
GR268,RVA9263,true,Model2,Data1,1,Fold1
GR269,RVA9261,true,Model2,Data1,1,Fold1
GR270,RVA9263,true,Model2,Data1,1,Fold1
GR271,RVA9300,true,Model2,Data1,1,Fold1
GR272,RVA9267,true,Model2,Data1,1,Fold1
GR273,RVA9309,true,Model2,Data1,1,Fold1
GR274,RVA9301,true,Model2,Data1,1,Fold1
GR274,RVA5710,true,Model2,Data1,1,Fold1
GR275,RVA9308,true,Model2,Data1,1,Fold1
GR276,RVA9306,true,Model2,Data1,1,Fold1
GR277,RVA10184,true,Model2,Data1,1,Fold1
GR277,RVA845,true,Model2,Data1,1,Fold1
GR278,RVA9305,true,Model2,Data1,1,Fold1
GR279,RVA9305,true,Model2,Data1,1,Fold1
GR280,RVA9260,true,Model2,Data1,1,Fold1
GR280,RVA844,true,Model2,Data1,1,Fold1
GR281,RVA9338,true,Model2,Data1,1,Fold1
GR282,RVA9339,true,Model2,Data1,1,Fold1
GR283,RVA9346,true,Model2,Data1,1,Fold1
GR284,RVA10185,true,Model2,Data1,1,Fold1
GR285,RVA9346,true,Model2,Data1,1,Fold1
GR286,RVA9392,true,Model2,Data1,1,Fold1
GR287,RVA10188,true,Model2,Data1,1,Fold1
GR288,RVA9343,true,Model2,Data1,1,Fold1
GR289,RVA9391,true,Model2,Data1,1,Fold1
GR290,RVA9394,true,Model2,Data1,1,Fold1
GR291,RVA9393,true,Model2,Data1,1,Fold1
GR291,RVA5710,true,Model2,Data1,1,Fold1
GR292,RVA9400,true,Model2,Data1,1,Fold1
GR293,RVA9396,true,Model2,Data1,1,Fold1
GR294,RVA9398,true,Model2,Data1,1,Fold1
GR295,RVA9395,true,Model2,Data1,1,Fold1
GR296,RVA9431,true,Model2,Data1,1,Fold1
GR297,RVA9425,true,Model2,Data1,1,Fold1
GR298,RVA9428,true,Model2,Data1,1,Fold1
GR299,RVA9427,true,Model2,Data1,1,Fold1
GR300,RVA9346,true,Model2,Data1,1,Fold1
GR301,RVA9431,true,Model2,Data1,1,Fold1
GR302,RVA9563,true,Model2,Data1,1,Fold1
GR303,RVA9562,true,Model2,Data1,1,Fold1
GR304,RVA9564,true,Model2,Data1,1,Fold1
GR305,RVA9339,true,Model2,Data1,1,Fold1
GR306,RVA9565,true,Model2,Data1,1,Fold1
GR307,RVA9567,true,Model2,Data1,1,Fold1
GR307,RVA724,true,Model2,Data1,1,Fold1
